,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
586,CHEMBL2336945,C/C(=N\NC(=O)c1ccc([N+](=O)[O-])c(C)c1)c1cccc(NC(=O)COc2ccc(Cl)cc2Cl)c1,inactive,515.3530000000002,5.381520000000004,2.0,6.0,4.180456064458132
587,CHEMBL2336944,CC1=NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C/c1cc(Br)ccc1OCC(=O)O,inactive,484.13300000000015,5.025400000000003,1.0,4.0,4.732828271596986
588,CHEMBL2336943,CC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)/C1=N\Nc1ccccc1C(=O)O,inactive,367.3210000000001,2.4836,2.0,7.0,4.769551078621726
589,CHEMBL2336942,COc1cc(NC(=O)c2nn3c(C(F)(F)F)cc(-c4ccc(Br)cc4)nc3c2Cl)cc([N+](=O)[O-])c1,intermediate,570.7090000000002,6.000100000000003,1.0,7.0,5.070581074285707
590,CHEMBL2336521,Clc1ccc(/C=C/c2cc(-c3ccc(-c4ccccc4)cc3)nc3ccc4ccccc4c23)cc1,intermediate,467.99900000000014,9.545799999999995,0.0,1.0,5.070581074285707
591,CHEMBL2336520,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)c(=O)n2C1c1ccccc1Cl,intermediate,583.4490000000002,5.063300000000004,1.0,8.0,5.187086643357144
592,CHEMBL2336519,Cc1cc(C)c2oc(-c3ccc(C)c(NC(=O)c4cccc([N+](=O)[O-])c4)c3)nc2c1,intermediate,401.42200000000014,5.580560000000005,1.0,5.0,5.207608310501746
593,CHEMBL2336953,Cc1ccc2[nH]c3c(c2c1)CCC/C3=N\N=C1/CCCc2c1[nH]c1ccc(C)cc21,intermediate,394.5220000000001,6.132040000000004,2.0,2.0,5.301029995663981
594,CHEMBL2336518,COc1cc(-c2cc(C(=O)O)c3c(ccc4ccccc43)n2)ccc1OCCCC#N,intermediate,412.4450000000002,5.444380000000004,1.0,5.0,5.356547323513812
595,CHEMBL517107,O=C(O)CN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,intermediate,378.38700000000006,0.7738,2.0,6.0,5.42021640338319
596,CHEMBL412099,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1,intermediate,378.82200000000006,5.933060000000002,1.0,3.0,5.7447274948966935
597,CHEMBL2336947,Cc1nc2sc3c(c2c(=O)n1/N=C/c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O)CCCC3,intermediate,429.4140000000003,3.0494200000000014,1.0,10.0,5.7447274948966935
598,CHEMBL2336952,Cn1c(=O)c(/C(=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c2nnn[nH]2)c(O)c2ccccc21,intermediate,451.35900000000015,1.4380999999999997,3.0,12.0,5.769551078621726
599,CHEMBL2336949,O=C(COC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccccc3)cc1)C2=O)c1ccc(Br)cc1,intermediate,556.3680000000002,6.081700000000004,0.0,6.0,5.769551078621726
600,CHEMBL2336950,C=CCSc1nnc2c(n1)OC(c1ccc(-c3cccc([N+](=O)[O-])c3)o1)Nc1ccccc1-2,intermediate,459.48700000000014,5.488000000000004,1.0,9.0,5.795880017344075
601,CHEMBL2336517,CC(c1ccccc1)N1C(=O)c2ccc(C(=O)Nc3cc(Cl)ccc3C(=O)O)cc2C1=O,intermediate,448.86200000000014,4.647700000000004,2.0,4.0,5.853871964321762
602,CHEMBL1611199,Cc1ccc(C(=O)O)cc1-c1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3)C2=O)o1,intermediate,462.48300000000023,4.628220000000003,2.0,6.0,5.920818753952375
603,CHEMBL2336516,Cc1ccc([N+](=O)[O-])cc1NC(=O)CSc1nnc(CNc2c(C)cccc2C)n1C,active,440.5290000000002,3.991460000000002,2.0,8.0,6.154901959985743
604,CHEMBL2336515,COc1ccc(-c2nnc(SCC(=O)c3ccc4c(c3)Cc3ccccc3-4)nc2-c2ccc(OC)cc2)cc1,active,531.6370000000003,6.769000000000006,0.0,7.0,6.522878745280337
605,CHEMBL2336944,CC1=NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C/c1cc(Br)ccc1OCC(=O)O,active,484.13300000000015,5.025400000000003,1.0,4.0,6.769551078621726
606,CHEMBL2336951,CCn1c2ccccc2c2cc(-c3cc(C(=O)O)c4c(ccc5ccccc54)n3)ccc21,active,416.4800000000001,6.881000000000006,1.0,3.0,7.0
607,CHEMBL2336948,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1cc(OCc2ccccc2)c(OCc2ccccc2)c(OCc2ccccc2)c1,active,587.6320000000004,7.095700000000006,1.0,7.0,7.0
608,CHEMBL2336945,C/C(=N\NC(=O)c1ccc([N+](=O)[O-])c(C)c1)c1cccc(NC(=O)COc2ccc(Cl)cc2Cl)c1,active,515.3530000000002,5.381520000000004,2.0,6.0,7.2441251443275085
609,CHEMBL2336946,COc1ccc(CN2C(=O)/C(=C/c3ccc(OCc4ccc([N+](=O)[O-])cc4)c(Br)c3)S/C2=N\c2ccccc2)cc1,active,630.5200000000001,7.7491000000000065,0.0,7.0,7.42021640338319
610,CHEMBL2336943,CC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)/C1=N\Nc1ccccc1C(=O)O,active,367.3210000000001,2.4836,2.0,7.0,8.0
611,CHEMBL2336942,COc1cc(NC(=O)c2nn3c(C(F)(F)F)cc(-c4ccc(Br)cc4)nc3c2Cl)cc([N+](=O)[O-])c1,active,570.7090000000002,6.000100000000003,1.0,7.0,8.013228265733755
612,CHEMBL2336516,Cc1ccc([N+](=O)[O-])cc1NC(=O)CSc1nnc(CNc2c(C)cccc2C)n1C,active,440.5290000000002,3.991460000000002,2.0,8.0,8.031517051446064
613,CHEMBL2336521,Clc1ccc(/C=C/c2cc(-c3ccc(-c4ccccc4)cc3)nc3ccc4ccccc4c23)cc1,active,467.99900000000014,9.545799999999995,0.0,1.0,8.187086643357144
614,CHEMBL2336519,Cc1cc(C)c2oc(-c3ccc(C)c(NC(=O)c4cccc([N+](=O)[O-])c4)c3)nc2c1,active,401.42200000000014,5.580560000000005,1.0,5.0,8.337242168318426
615,CHEMBL2336515,COc1ccc(-c2nnc(SCC(=O)c3ccc4c(c3)Cc3ccccc3-4)nc2-c2ccc(OC)cc2)cc1,active,531.6370000000003,6.769000000000006,0.0,7.0,8.397940008672037
616,CHEMBL412099,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1,active,378.82200000000006,5.933060000000002,1.0,3.0,8.522878745280337
617,CHEMBL2336520,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)c(=O)n2C1c1ccccc1Cl,active,583.4490000000002,5.063300000000004,1.0,8.0,8.698970004336019
618,CHEMBL2336517,CC(c1ccccc1)N1C(=O)c2ccc(C(=O)Nc3cc(Cl)ccc3C(=O)O)cc2C1=O,active,448.86200000000014,4.647700000000004,2.0,4.0,8.698970004336019
619,CHEMBL2336518,COc1cc(-c2cc(C(=O)O)c3c(ccc4ccccc43)n2)ccc1OCCCC#N,active,412.4450000000002,5.444380000000004,1.0,5.0,8.958607314841775
620,CHEMBL2336953,Cc1ccc2[nH]c3c(c2c1)CCC/C3=N\N=C1/CCCc2c1[nH]c1ccc(C)cc21,inactive,394.5220000000001,6.132040000000004,2.0,2.0,3.6989700043360187
621,CHEMBL2336952,Cn1c(=O)c(/C(=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c2nnn[nH]2)c(O)c2ccccc21,inactive,451.35900000000015,1.4380999999999997,3.0,12.0,3.6989700043360187
622,CHEMBL2336951,CCn1c2ccccc2c2cc(-c3cc(C(=O)O)c4c(ccc5ccccc54)n3)ccc21,inactive,416.4800000000001,6.881000000000006,1.0,3.0,3.6989700043360187
623,CHEMBL2336950,C=CCSc1nnc2c(n1)OC(c1ccc(-c3cccc([N+](=O)[O-])c3)o1)Nc1ccccc1-2,inactive,459.48700000000014,5.488000000000004,1.0,9.0,3.6989700043360187
624,CHEMBL2348048,Cn1c(-c2ccccc2Cl)nc2c3ccc(Br)cc3n(C)c(=O)c21,inactive,402.6790000000001,4.508100000000003,0.0,4.0,5.0
625,CHEMBL2348047,O=c1[nH]c2cc(Br)ccc2c2nc(-c3ccccc3Cl)n(Cc3ccccc3)c12,inactive,464.75000000000017,6.009000000000004,1.0,3.0,5.0
626,CHEMBL2348046,Cn1c(-c2ccccc2Cl)nc2c3ccc(Br)cc3[nH]c(=O)c21,intermediate,388.65200000000004,4.497700000000003,1.0,3.0,5.008330992620051
627,CHEMBL2348045,Cn1c(-c2ccccc2Cl)nc2c(=O)[nH]c3cc(Br)ccc3c21,inactive,388.65200000000004,4.497700000000003,1.0,3.0,5.0
628,CHEMBL2348044,O=c1c2[nH]c(-c3ccccc3Cl)nc2c2ccc(Br)cc2n1Cc1ccccc1,active,464.7500000000001,6.009000000000003,1.0,3.0,6.645891560852599
629,CHEMBL2348043,CCn1c(=O)c2[nH]c(-c3ccccc3Cl)nc2c2ccc(Br)cc21,active,402.6790000000001,4.980600000000003,1.0,3.0,6.97469413473523
630,CHEMBL2348042,Cn1c(=O)c2[nH]c(-c3ccccc3Cl)nc2c2ccc(Br)cc21,active,388.65200000000004,4.497700000000002,1.0,3.0,7.070581074285707
631,CHEMBL2348041,CCSc1nc2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,418.74700000000007,6.306000000000004,1.0,3.0,7.229147988357855
632,CHEMBL2348040,CSc1nc2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,404.72000000000014,5.915900000000002,1.0,3.0,7.508638306165727
633,CHEMBL2348039,S=c1[nH]c2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,390.6930000000001,5.856590000000002,2.0,2.0,7.080921907623926
634,CHEMBL2348038,CN(C)c1nc2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,401.69500000000005,5.260000000000003,1.0,3.0,6.412289034981089
635,CHEMBL2348037,CNc1nc2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,387.6680000000001,5.235700000000002,2.0,3.0,6.199970640755866
636,CHEMBL2348036,Nc1nc2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,intermediate,373.6410000000001,4.776200000000001,2.0,3.0,5.9714287473074625
637,CHEMBL2387503,O=c1[nH]c2cc(-c3ccccc3)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,active,389.8170000000001,5.530900000000003,2.0,2.0,7.481486060122112
638,CHEMBL2387588,O=c1[nH]c2cc(-c3ccc(Cl)cc3)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,active,424.26200000000017,6.184300000000002,2.0,2.0,8.481486060122112
639,CHEMBL2387587,O=c1[nH]c2cc(-c3cccc(Cl)c3)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,active,424.26200000000017,6.184300000000002,2.0,2.0,8.602059991327963
640,CHEMBL2387507,O=c1[nH]c2cc(-c3ccccc3Cl)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,active,424.26200000000017,6.184300000000002,2.0,2.0,8.366531544420413
641,CHEMBL2387506,Cc1ccc(-c2ccc3c(c2)[nH]c(=O)c2nc(-c4c(F)cccc4Cl)[nH]c23)cc1,active,403.8440000000001,5.839320000000003,2.0,2.0,8.080921907623926
642,CHEMBL2387505,Cc1cccc(-c2ccc3c(c2)[nH]c(=O)c2nc(-c4c(F)cccc4Cl)[nH]c23)c1,active,403.844,5.8393200000000025,2.0,2.0,8.346787486224656
643,CHEMBL1934810,O=c1[nH]c2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,374.625,4.487300000000001,2.0,2.0,8.040958607678906
644,CHEMBL2387589,O=c1[nH]c2ccccc2c2[nH]c(-c3ccccc3Cl)nc12,active,295.72900000000004,3.724800000000001,2.0,2.0,6.050122295963125
645,CHEMBL2387590,O=c1[nH]c2cc(Cl)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,330.1740000000001,4.378200000000001,2.0,2.0,7.568636235841013
646,CHEMBL2387591,O=c1[nH]c2ccc(Br)cc2c2[nH]c(-c3ccccc3Cl)nc12,active,374.625,4.487300000000001,2.0,2.0,6.703334809738469
647,CHEMBL2387592,O=c1[nH]c2ccc(Cl)cc2c2[nH]c(-c3ccccc3Cl)nc12,active,330.1740000000001,4.378200000000001,2.0,2.0,6.36251027048749
648,CHEMBL2387593,Cc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,active,309.75600000000003,4.033220000000001,2.0,2.0,6.617982957425132
649,CHEMBL2387594,CCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,active,323.78299999999996,4.287200000000001,2.0,2.0,7.008773924307505
650,CHEMBL2387595,CCCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,active,337.81,4.6773000000000025,2.0,2.0,7.327902142064283
651,CHEMBL2387596,CCCCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,active,351.83700000000005,5.067400000000003,2.0,2.0,7.769551078621726
652,CHEMBL2387597,CCCCCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,active,365.864,5.457500000000003,2.0,2.0,7.275724130399211
653,CHEMBL2387598,CCCCCCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,active,379.891,5.8476000000000035,2.0,2.0,7.154901959985743
654,CHEMBL2387599,O=c1[nH]c2cc(-c3ccccc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,371.8270000000001,5.391800000000003,2.0,2.0,8.102372908709558
655,CHEMBL2387600,O=c1[nH]c2cc(Cc3ccccc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,385.85400000000016,5.3156000000000025,2.0,2.0,7.769551078621726
656,CHEMBL2387601,O=c1[nH]c2cc(CCc3ccccc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,399.8810000000002,5.510000000000003,2.0,2.0,7.6777807052660805
657,CHEMBL2387602,O=c1[nH]c2cc(-c3ccc4ccccc4c3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,421.88700000000017,6.5450000000000035,2.0,2.0,7.494850021680094
