molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL568576,CC(=O)c1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21,active,8.0
CHEMBL585763,OC(c1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21)(C(F)(F)F)C(F)(F)F,active,1.0
CHEMBL566262,CC(C)(O)c1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21,active,7.0
CHEMBL585486,Cc1ccc2c(c1)c1cc(C)ccc1c1[nH]c(-c3c(F)cccc3Cl)nc21,active,7.0
CHEMBL565831,CC(=O)c1ccc2c(c1)c1cc(C(C)=O)ccc1c1[nH]c(-c3c(F)cccc3Cl)nc21,active,122.0
CHEMBL568366,CC(C)(O)c1ccc2c(c1)c1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1c1[nH]c(-c3c(F)cccc3Cl)nc21,active,45.0
CHEMBL412099,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1,active,1.0
CHEMBL584930,CC(C)(O)c1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,4.0
CHEMBL568546,CS(=O)(=O)c1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,9.0
CHEMBL585116,N#CCCCOc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,1.0
CHEMBL585690,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(OCCn4cccc4)ccc3c2[nH]1,active,1.0
CHEMBL585295,CS(=O)(=O)c1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2c2nc(-c4c(C#N)cccc4C#N)[nH]c32)cc1,active,2.0
CHEMBL585857,COCC#Cc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,2.0
CHEMBL568565,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(C#Cc4cccnc4)ccc3c2[nH]1,active,1.0
CHEMBL567714,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(C#Cc4ccncc4)ccc3c2[nH]1,active,1.0
CHEMBL483900,CC(C)(O)C#Cc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,1.0
CHEMBL585134,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(C#CC4(O)CCCC4)ccc3c2[nH]1,active,1.0
CHEMBL585104,CCc1ccc2c(c1)c1cc(C#CC(C)(C)O)ccc1c1[nH]c(-c3c(C#N)cccc3C#N)nc21,active,1.0
CHEMBL566668,CC(C)(O)C#Cc1ccc2c(c1)c1cc(C#CC3CC3)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,1.0
CHEMBL482674,CC(C)(O)CCc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,1.0
CHEMBL584927,CC(C)(O)Cc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,2.0
CHEMBL585310,CC(C)(O)Cc1ccc2c(c1)c1cc(OCC3CC3)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,3.0
CHEMBL567493,CC(C)(O)Cc1ccc2c(c1)c1cc(OCCCC(F)(F)F)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,1.0
CHEMBL567696,CC(C)CCOc1ccc2c(c1)c1cc(CC(C)(C)O)ccc1c1[nH]c(-c3c(C#N)cccc3C#N)nc21,active,0.4
CHEMBL565617,CC(C)COc1ccc2c(c1)c1cc(CC(C)(C)O)ccc1c1[nH]c(-c3c(C#N)cccc3C#N)nc21,active,3.0
CHEMBL521285,CC(C)(O)Cc1ccc2c(c1)c1cc(OCCC3CC3)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,0.9
CHEMBL565406,CC(C)(O)Cc1ccc2c(c1)c1cc(OCCC3CC3)ccc1c1nc(-c3c(C#N)cc(F)cc3C#N)[nH]c21,active,1.0
CHEMBL270347,Fc1cccc(Cl)c1-c1nc2c3ccccc3c3ccccc3c2[nH]1,intermediate,2600.0
CHEMBL568545,Fc1cccc(Cl)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1,active,710.0
CHEMBL567282,Fc1cccc(Cl)c1-c1nc2c3cc(Cl)ccc3c3ccccc3c2[nH]1,intermediate,4300.0
CHEMBL584932,Fc1cccc(Cl)c1-c1nc2c3ccc(Br)cc3c3ccccc3c2[nH]1,intermediate,1100.0
CHEMBL568551,Fc1cccc(Cl)c1-c1nc2c([nH]1)c1ccccc1c1cccc(Br)c12,intermediate,5000.0
CHEMBL566445,Fc1cccc(Cl)c1-c1nc2c3cc(Br)ccc3c3ccccc3c2[nH]1,intermediate,7400.0
CHEMBL566261,Fc1cccc(Cl)c1-c1nc2c3cccc(Br)c3c3ccccc3c2[nH]1,intermediate,3000.0
CHEMBL568125,Fc1cccc(Cl)c1-c1nc2c3ccc(Br)cc3c3cc(Br)ccc3c2[nH]1,active,1000.0
CHEMBL585110,CC(C)c1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21,intermediate,2000.0
CHEMBL566446,COc1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21,active,730.0
CHEMBL568576,CC(=O)c1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21,active,330.0
